Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1980","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1981","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1981","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1982","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1982","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1983","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1983","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1984","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1984","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1985","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1985","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1986","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1986","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1987","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1987","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1988","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1988","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1989","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1989","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1990","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1990","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1991","",""
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1991","",""
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1992","t","60000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1992","kg/ha","35.09"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1993","t","53000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1993","kg/ha","30.98"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1994","t","53000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1994","kg/ha","30.46"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1995","t","6000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1995","kg/ha","5.82"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1996","t","5000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1996","kg/ha","4.65"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1997","t","8000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1997","kg/ha","7.31"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1998","t","7000"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1998","kg/ha","6.54"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","1999","t","10300"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","1999","kg/ha","10.31"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2000","t","11574"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2000","kg/ha","11.79"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2001","t","11960"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2001","kg/ha","12.33"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2002","t","8636"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2002","kg/ha","8.77"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2003","t","12024"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2003","kg/ha","12.41"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2004","t","8787"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2004","kg/ha","8.61"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2005","t","18700"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2005","kg/ha","16.92"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2006","t","18300"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2006","kg/ha","15.02"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2007","t","16726"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2007","kg/ha","13.96"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2008","t","14145"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2008","kg/ha","12.02"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2009","t","11154"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2009","kg/ha","9.5"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2010","t","16288"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2010","kg/ha","13.8"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2011","t","17610"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2011","kg/ha","15.12"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2012","t","22853"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2012","kg/ha","19.3"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2013","t","27459"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2013","kg/ha","22.62"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2014","t","25954"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2014","kg/ha","21.36"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2015","t","28659"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2015","kg/ha","23.18"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2016","t","30468"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2016","kg/ha","23.51"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2017","t","30173"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2017","kg/ha","23.25"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2018","t","30159"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2018","kg/ha","23.15"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2019","t","31705"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2019","kg/ha","23.87"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2020","t","35724"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2020","kg/ha","26.6"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2021","t","34874"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2021","kg/ha","25.44"
"Fertilizers by Nutrient","Latvia","Agricultural Use","Nutrient potash K2O (total)","2022","t","29578"
"Fertilizers by Nutrient","Latvia","Use per area of cropland","Nutrient potash K2O (total)","2022","kg/ha","21.64"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1961","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1961","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1962","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1962","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1963","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1963","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1964","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1964","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1965","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1965","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1966","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1966","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1967","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1967","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1968","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1968","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1969","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1969","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1970","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1970","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1971","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1971","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1972","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1972","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1973","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1973","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1974","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1974","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1975","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1975","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1976","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1976","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1977","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1977","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1978","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1978","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1979","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1979","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1980","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1980","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1981","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1981","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1982","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1982","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1983","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1983","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1984","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1984","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1985","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1985","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1986","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1986","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1987","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1987","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1988","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1988","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1989","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1989","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1990","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1990","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1991","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1991","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1992","t","88000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1992","kg/ha","30.04"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1993","t","43000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1993","kg/ha","14.97"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1994","t","43000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1994","kg/ha","16.35"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1995","t","40000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1995","kg/ha","13.75"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1996","t","79000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1996","kg/ha","27.15"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1997","t","81100"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1997","kg/ha","27.76"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1998","t","83400"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1998","kg/ha","28.44"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","1999","t","94000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","1999","kg/ha","31.38"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2000","t","98000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2000","kg/ha","33.55"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2001","t","102000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2001","kg/ha","60.93"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2002","t","115000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2002","kg/ha","68.37"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2003","t","116000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2003","kg/ha","73.98"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2004","t","117000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2004","kg/ha","70.94"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2005","t","119000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2005","kg/ha","61.14"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2006","t","122000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2006","kg/ha","63.73"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2007","t","127000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2007","kg/ha","68.08"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2008","t","118300"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2008","kg/ha","62.63"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2009","t","134400"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2009","kg/ha","64.57"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2010","t","143200"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2010","kg/ha","66.35"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2011","t","147000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2011","kg/ha","66.32"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2012","t","153000"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2012","kg/ha","66.75"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2013","t","157226"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2013","kg/ha","67.68"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2014","t","163200"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2014","kg/ha","68.45"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2015","t","162813"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2015","kg/ha","73.77"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2016","t","160237"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2016","kg/ha","73.59"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2017","t","167149"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2017","kg/ha","78.14"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2018","t","159433"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2018","kg/ha","74.12"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2019","t","178603"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2019","kg/ha","79.49"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2020","t","185779"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2020","kg/ha","81.31"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2021","t","187506"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2021","kg/ha","80.99"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient nitrogen N (total)","2022","t","130709"
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient nitrogen N (total)","2022","kg/ha","56.14"
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1961","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1961","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1962","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1962","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1963","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1963","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1964","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1964","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1965","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1965","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1966","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1966","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1967","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1967","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1968","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1968","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1969","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1969","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1970","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1970","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1971","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1971","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1972","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1972","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1973","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1973","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1974","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1974","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1975","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1975","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1976","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1976","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1977","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1977","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1978","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1978","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1979","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1979","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1980","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1980","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1981","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1981","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1982","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1982","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1983","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1983","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1984","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1984","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1985","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1985","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1986","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1986","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1987","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1987","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1988","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1988","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1989","",""
"Fertilizers by Nutrient","Lithuania","Use per area of cropland","Nutrient phosphate P2O5 (total)","1989","",""
"Fertilizers by Nutrient","Lithuania","Agricultural Use","Nutrient phosphate P2O5 (total)","1990","",""
