Domain,Area,Element,Item,Year,Unit,Value
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1973","t","123055"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1973","kg/ha","68.7"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1974","t","87532"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1974","kg/ha","48.87"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1975","t","76404"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1975","kg/ha","42.74"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1976","t","89481"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1976","kg/ha","49.77"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1977","t","94425"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1977","kg/ha","52.23"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1978","t","96000"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1978","kg/ha","52.52"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1979","t","99700"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1979","kg/ha","55.32"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1980","t","99300"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1980","kg/ha","54.66"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1981","t","93305"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1981","kg/ha","50.96"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1982","t","83357"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1982","kg/ha","45.91"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1983","t","94477"
"Fertilizers by Nutrient","Austria","Use per area of cropland","Nutrient phosphate P2O5 (total)","1983","kg/ha","56.09"
"Fertilizers by Nutrient","Austria","Agricultural Use","Nutrient phosphate P2O5 (total)","1984","t","95000"
